period,date,banco_central_asset_1a2,banco_central_liability,net_cb_position,caja,bancos_pais,bancos_exterior,equivalentes_efectivo,total_liquid_assets,total_deposits,depositos_vista,depositos_ahorro,depositos_plazo,government_deposits,government_share_pct,total_activos,total_pasivos,patrimonio,cb_to_deposits_ratio,liquid_to_deposits_ratio,has_cb_asset_data,has_total_deposits,data_completeness
2012-01,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,18404042287.0,0.0372456134235651,0,0,0,0.0,0.0,False,False,partial
2012-02,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,20493548656.0,0.0407433052217259,0,0,0,0.0,0.0,False,False,partial
2012-03,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,21025015190.0,0.0415935137055705,0,0,0,0.0,0.0,False,False,partial
2012-04,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,25181830727.0,0.048576772248204,0,0,16936073199,0.0,0.0,False,False,partial
2012-05,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,21152188586.0,0.0410122649597527,208184549018,0,0,0.0,0.0,False,False,partial
2012-06,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,18994332474.0,0.0365057595553964,207505378276,190332816826,0,0.0,0.0,False,False,partial
2012-07,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,18953253248.4,0.0361148060788927,217582902283,200213410330,17369491953,0.0,0.0,False,False,partial
2012-08,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,16249400412.0,0.0299890102885973,0,0,0,0.0,0.0,False,False,partial
2012-09,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,21225875286.5,0.0396822061530213,0,0,0,0.0,0.0,False,False,partial
2012-10,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,16916875455.16,0.0318366035285832,231165889360,0,0,0.0,0.0,False,False,partial
2012-11,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,21434818549.26,0.0395824952779194,0,0,0,0.0,0.0,False,False,partial
2012-12,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,19916990932.0,0.0354641810344521,0,0,0,0.0,0.0,False,False,partial
2013-01,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,18349271475.57,0.0332256448118028,0,0,0,0.0,0.0,False,False,partial
2013-02,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,19537588041.0,0.0349937955776508,244478424638,225667278032,18811146606,0.0,0.0,False,False,partial
2013-03,2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,23609770381.0,0.0416903822015252,0,0,0,0.0,0.0,False,False,partial
2013-04,2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,51565515997.0,0.0859950829870395,0,271879776081,18791480293,0.0,0.0,False,False,partial
2013-05,2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,54814489299.00999,0.0893648751964192,0,0,0,0.0,0.0,False,False,partial
2013-06,2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,37735081954.62,0.0613723396854622,298659121881,282304805321,16354316560,0.0,0.0,False,False,partial
2013-07,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,34536419963.92,0.055938326620656,0,0,16858212112,0.0,0.0,False,False,partial
2013-08,2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,35361474619.979996,0.0568468612553275,0,0,0,0.0,0.0,False,False,partial
2013-09,2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,30835550643.65001,0.0507296105835324,0,0,0,0.0,0.0,False,False,partial
2013-10,2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,43071459280.68,0.0706972341903615,0,0,0,0.0,0.0,False,False,partial
2013-11,2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,39547696312.700005,0.0645412245988101,306467690088,287229402792,19238287296,0.0,0.0,False,False,partial
2013-12,2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,25850466570.06,0.0400884835820259,0,0,0,0.0,0.0,False,False,partial
2014-01,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,36054899362.28,0.0560688805214379,0,0,0,0.0,0.0,False,False,partial
2014-02,2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,22467465287.98,0.0349975194132596,0,0,20637667036,0.0,0.0,False,False,partial
2014-03,2014-03-01,0,0,0,0,0,0,0,0,0,0,0,0,22110782946.19,0.0338505864764578,0,0,0,0.0,0.0,False,False,partial
2014-04,2014-04-01,0,0,0,0,0,0,0,0,0,0,0,0,28822873857.0,0.0436922965040561,0,0,0,0.0,0.0,False,False,partial
2014-05,2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,30710004679.0,0.0470784085150485,0,291440351893,21917369192,0.0,0.0,False,False,partial
2014-06,2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,27184153620.89,0.0410014299312319,0,300343730842,0,0.0,0.0,False,False,partial
2014-07,2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0,36639036126.48,0.054280150486911,325362871275,0,0,0.0,0.0,False,False,partial
2014-08,2014-08-01,0,0,0,0,0,0,0,0,0,0,0,0,42212695719.590004,0.0619766749339498,327001347954,304867180099,0,0.0,0.0,False,False,partial
2014-09,2014-09-01,0,0,0,0,0,0,0,0,0,0,0,0,40438771414.78999,0.0612620438203009,0,0,0,0.0,0.0,False,False,partial
2014-10,2014-10-01,0,0,0,0,0,0,0,0,0,0,0,0,31885209977.0,0.0487435061524051,0,0,22761651256,0.0,0.0,False,False,partial
2014-11,2014-11-01,0,0,0,0,0,0,0,0,0,0,0,0,28783036530.0,0.0441243284965135,0,0,0,0.0,0.0,False,False,partial
2014-12,2014-12-01,0,0,0,0,0,0,0,0,0,0,0,0,17801267684.760002,0.0261864927974744,0,0,0,0.0,0.0,False,False,partial
2015-01,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,23260014843.010002,0.0343296496185802,0,318256702813,24151940051,0.0,0.0,False,False,partial
2015-02,2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,26523906326.47,0.0391289224642923,346040793920,0,24657376608,0.0,0.0,False,False,partial
