period,date,banco_central_asset,caja,bancos_pais,bancos_exterior,equivalentes_efectivo,total_efectivo,total_deposits,government_deposits,government_share_pct,cb_to_deposits_ratio,data_source,has_cb_data
2012-01,2012-01-01,0,0,0,0,0,0,0,18404042287.0,0.0372456134235651,0.0,old_structure,False
2012-02,2012-02-01,0,0,0,1858246512,0,42844451717,0,20493548656.0,0.0407433052217259,0.0,old_structure,False
2012-03,2012-03-01,0,0,0,0,0,0,0,21025015190.0,0.0415935137055705,0.0,none,False
2012-04,2012-04-01,0,0,0,0,0,0,0,25181830727.0,0.048576772248204,0.0,old_structure,False
2012-05,2012-05-01,0,0,0,0,0,0,0,21152188586.0,0.0410122649597527,0.0,none,False
2012-06,2012-06-01,29983720045,0,0,0,0,29983720045,0,18994332474.0,0.0365057595553964,0.0,old_structure,True
2012-07,2012-07-01,30420888686,7678916907,0,3193896065,0,41293701658,0,18953253248.4,0.0361148060788927,0.0,old_structure,True
2012-08,2012-08-01,34006258640,0,0,0,0,53148885660,0,16249400412.0,0.0299890102885973,0.0,old_structure,True
2012-09,2012-09-01,0,0,0,1542140559,0,1542140559,0,21225875286.5,0.0396822061530213,0.0,old_structure,False
2012-10,2012-10-01,0,0,0,0,0,43891149044,0,16916875455.16,0.0318366035285832,0.0,old_structure,False
2012-11,2012-11-01,0,0,0,0,0,44794656444,0,21434818549.26,0.0395824952779194,0.0,old_structure,False
2012-12,2012-12-01,0,0,0,0,0,0,0,19916990932.0,0.0354641810344521,0.0,none,False
2013-01,2013-01-01,0,0,0,0,0,44158573738,0,18349271475.57,0.0332256448118028,0.0,old_structure,False
2013-02,2013-02-01,0,0,0,0,0,0,0,19537588041.0,0.0349937955776508,0.0,none,False
2013-03,2013-03-01,32935259938,7504511686,0,1355939192,0,41795710816,0,23609770381.0,0.0416903822015252,0.0,old_structure,True
2013-04,2013-04-01,0,0,0,0,0,0,0,51565515997.0,0.0859950829870395,0.0,none,False
2013-05,2013-05-01,39528245063,0,0,353347073,0,47916420952,0,54814489299.00999,0.0893648751964192,0.0,old_structure,True
2013-06,2013-06-01,0,0,0,0,0,0,0,37735081954.62,0.0613723396854622,0.0,none,False
2013-07,2013-07-01,0,7990706976,0,1930963102,0,9921670078,0,34536419963.92,0.055938326620656,0.0,old_structure,False
2013-08,2013-08-01,0,0,0,0,0,0,0,35361474619.979996,0.0568468612553275,0.0,none,False
2013-09,2013-09-01,33130486585,5163428143,0,0,0,44364700158,0,30835550643.65001,0.0507296105835324,0.0,old_structure,True
2013-10,2013-10-01,0,0,0,0,0,0,0,43071459280.68,0.0706972341903615,0.0,none,False
2013-11,2013-11-01,0,0,0,0,0,0,0,39547696312.700005,0.0645412245988101,0.0,none,False
2013-12,2013-12-01,0,0,0,0,0,0,0,25850466570.06,0.0400884835820259,0.0,none,False
2014-01,2014-01-01,0,0,0,0,0,0,0,36054899362.28,0.0560688805214379,0.0,none,False
2014-02,2014-02-01,0,0,0,0,0,0,0,22467465287.98,0.0349975194132596,0.0,old_structure,False
2014-03,2014-03-01,36105783876,6376882893,300003341,1412306195,0,44194976305,0,22110782946.19,0.0338505864764578,0.0,old_structure,True
2014-04,2014-04-01,0,0,0,0,0,0,0,28822873857.0,0.0436922965040561,0.0,none,False
2014-05,2014-05-01,0,0,0,0,0,55289108054,0,30710004679.0,0.0470784085150485,0.0,old_structure,False
2014-06,2014-06-01,0,0,0,5530651884,0,51158051972,0,27184153620.89,0.0410014299312319,0.0,old_structure,False
2014-07,2014-07-01,0,0,0,0,0,0,0,36639036126.48,0.054280150486911,0.0,none,False
2014-08,2014-08-01,0,0,0,0,0,0,0,42212695719.590004,0.0619766749339498,0.0,none,False
2014-09,2014-09-01,0,0,0,0,0,0,0,40438771414.78999,0.0612620438203009,0.0,none,False
2014-10,2014-10-01,38094896953,0,0,0,0,38094896953,0,31885209977.0,0.0487435061524051,0.0,old_structure,True
2014-11,2014-11-01,0,0,0,29418642405,0,29418642405,0,28783036530.0,0.0441243284965135,0.0,old_structure,False
2014-12,2014-12-01,37197506793,6876747487,0,0,0,73711127747,0,17801267684.760002,0.0261864927974744,0.0,old_structure,True
2015-01,2015-01-01,0,0,0,0,0,0,0,23260014843.010002,0.0343296496185802,0.0,none,False
