Date,Year,Month,GovernmentDeposits,TotalDeposits,GovernmentShare
2001-12-01,2001.0,Dic,8651.708902999999,86297.385799,0.1002545885126946
2002-01-01,2002.0,Ene,12070.075408,89569.04584400001,0.13475721767788088
2002-02-01,2002.0,Feb,10286.82561,89370.98806799999,0.11510251629055539
2002-03-01,2002.0,Mar,12835.203060000002,89542.053468,0.14334273743886128
2002-04-01,2002.0,Abr,13129.466622,90656.195796,0.14482701934178566
2002-05-01,2002.0,May,12931.111572,90990.32679200002,0.14211523387051864
2002-06-01,2002.0,Jun,12106.584502,91525.73127399999,0.13227520101157778
2002-07-01,2002.0,Jul,11887.088662,91453.52925200001,0.12997955091755017
2002-08-01,2002.0,Ago,13406.756624000001,95312.88616600001,0.14066048320738456
2002-09-01,2002.0,Sep,10757.66702,90061.50602,0.1194480027639227
2002-10-01,2002.0,Oct,10798.134485,91517.55433700001,0.11798976232731755
2002-11-01,2002.0,Nov,11045.633885000001,93907.39686099999,0.11762261817724057
2002-12-01,2002.0,Dic,11339.014446000001,101685.945867,0.11151014379932946
2003-01-01,2003.0,Ene,11686.629769000001,122924.20403747,0.09507183601886622
2003-02-01,2003.0,Feb,12867.037514000001,115045.54857284999,0.1118429845710392
2003-03-01,2003.0,Mar,12266.229683999998,123239.01127740002,0.09953203581283049
2003-04-01,2003.0,Abr,9998.963023999999,133468.88814318,0.0749160584395782
2003-05-01,2003.0,May,9030.320321000001,140150.56983561002,0.06443299040162405
2003-06-01,2003.0,Jun,10326.525128,154023.78085015,0.06704500481030713
2003-07-01,2003.0,Jul,8841.348189,154178.24429305,0.05734497905031954
2003-08-01,2003.0,Ago,9793.195882,148305.45682055,0.06603395513524356
2003-09-01,2003.0,Sep,8918.162529000001,143438.84067936,0.062173972452381036
2003-10-01,2003.0,Oct,9357.319826,153332.16481103,0.06102646393554915
2003-11-01,2003.0,Nov,10424.558968,168046.24887784,0.06203386887605005
2003-12-01,2003.0,Dic,10588.794175,164410.64345777,0.06440455406233968
2004-01-01,2004.0,Ene,12059.993955999998,185847.55689845997,0.06489186168096425
2004-02-01,2004.0,Feb,16089.402841000001,186306.77993495,0.08635972800677302
2004-03-01,2004.0,Mar,10787.650715,170405.12295475003,0.06330590611330734
2004-04-01,2004.0,Abr,15895.403677,181033.19620187,0.08780380621063026
2004-05-01,2004.0,May,13738.692711,192420.07051016,0.07139947862286321
2004-06-01,2004.0,Jun,12982.529314,198663.94139465998,0.06534919836413235
2004-07-01,2004.0,Jul,12073.39978,199994.06567798,0.060368790139203224
2004-08-01,2004.0,Ago,11195.916443000002,187630.26810339,0.059670097773514404
2004-09-01,2004.0,Sep,12904.725728999998,176297.74678649,0.0731984722676496
2004-10-01,2004.0,Oct,13529.147787,182972.30868973996,0.07394095797272211
2004-11-01,2004.0,Nov,14058.540068,175001.26193674,0.08033393538088843
2004-12-01,2004.0,Dic,10260.383962,179754.26077850998,0.05708005984148917
2005-01-01,2005.0,Ene,12922.124297000002,178940.61882231,0.07221459488654063
2005-02-01,2005.0,Feb,12885.158411999999,178693.88071050995,0.07210744072917855
2005-03-01,2005.0,Mar,13957.401868,183593.49755880996,0.07602339981310649
2005-04-01,2005.0,Abr,16539.262592,190796.28008411,0.08668545626103866
2005-05-01,2005.0,May,17173.014187,193431.61780331997,0.08878080213577809
2005-06-01,2005.0,Jun,15793.772085,196076.98698500003,0.08054883098651568
2005-07-01,2005.0,Jul,15749.269348,198486.92997149998,0.07934663179213554
2005-08-01,2005.0,Ago,15960.064767999998,205096.017096,0.07781752661013167
2005-09-01,2005.0,Sep,17119.857397,207009.05038899998,0.08270100927872143
2005-10-01,2005.0,Oct,18614.850123,220183.91633108002,0.08454227916906401
2005-11-01,2005.0,Nov,19223.377350000002,222756.31503882003,0.08629778844496472
2005-12-01,2005.0,Dic,16289.949086,226572.63522170996,0.07189724862430834
2006-01-01,2006.0,Ene,19265.798377999996,228757.090623,0.08421945883964196
2006-02-01,2006.0,Feb,16115.715436,220740.979861,0.07300735661383774
2006-03-01,2006.0,Mar,11815.748491999997,219570.21440000003,0.05381307534944046
2006-04-01,2006.0,Abr,12884.503641999998,226346.30693199998,0.05692385184738544
2006-05-01,2006.0,May,13302.308413,230533.60421331605,0.057702253250208085
2006-06-01,2006.0,Jun,12972.674851,240391.74955371,0.05396472580728714
2006-07-01,2006.0,Jul,10595.302602999998,243980.66986717,0.043426811676385596
2006-08-01,2006.0,Ago,11409.985526,247806.78018748996,0.046043879499048555
2006-09-01,2006.0,Sep,11235.726459000001,249112.33075779,0.04510305220468758
2006-10-01,2006.0,Oct,14232.128850999998,256417.99215483997,0.05550362800753005
2006-11-01,2006.0,Nov,17901.983284,259708.11250497,0.06893116703721534
2006-12-01,2006.0,Dic,18543.124040999995,262412.40769493,0.07066405206935748
2007-01-01,2007.0,Ene,25517.50793825,273747.34196087,0.09321554596828752
2007-02-01,2007.0,Feb,21921.42824447,273975.00457768,0.08001251164594698
2007-03-01,2007.0,Mar,20128.28547299,275629.15006854,0.07302669354088545
2007-04-01,2007.0,Abr,19814.66835053,285122.31414501,0.06949532662832023
2007-05-01,2007.0,May,22897.15291189,292616.53122797,0.0782496901859978
2007-06-01,2007.0,Jun,23767.5055293,299881.34057011,0.0792563668153382
2007-07-01,2007.0,Jul,20293.84713197,298643.62927169004,0.0679533904053508
2007-08-01,2007.0,Ago,23262.63389125,305842.23805148,0.07606089348369988
2007-09-01,2007.0,Sep,25951.081285969998,310479.29303057,0.08358393576802829
2007-10-01,2007.0,Oct,27320.52890724,317049.92008664,0.08617106384942201
2007-11-01,2007.0,Nov,25281.93222755,318694.99952938,0.07932955416584532
2007-12-01,2007.0,Dic,19427.14732915,323731.00612092,0.060010153373735144
2008-01-01,2008.0,Ene,18239.95669214,327401.90628083004,0.05571121102909712
2008-02-01,2008.0,Feb,17264.10091805,332775.26146624004,0.05187915965262171
2008-03-01,2008.0,Mar,21837.5664492,338036.22766153,0.06460126064081388
2008-04-01,2008.0,Abr,23040.80773613,344600.05457765004,0.06686246107641902
2008-05-01,2008.0,May,21402.059291669997,337291.56239513,0.06345269694768686
2008-06-01,2008.0,Jun,19002.34298506,328104.83402748,0.05791546181080796
2008-07-01,2008.0,Jul,14230.13187013,320842.79348589,0.04435234999521911
2008-08-01,2008.0,Ago,17658.71011596,323993.43754255003,0.054503295652835196
